TEAM,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,Game 8,Game 9,Game 10,Game 11,Game 12,Game 13,Game 14,Game 15,Game 16,Game 17,Game 18,Game 19,Game 20,Game 21,Game 22,Game 23,Game 24,Game 25,Game 26,Game 27,Game 28,Game 29,Game 30,Game 31,Game 32,Game 33,Game 34,Game 35,Game 36,Game 37,Game 38,Game 39,Game 40,Game 41,Game 42,Game 43,Game 44,Game 45,Game 46,Game 47,Game 48,Game 49,Game 50,Game 51,Game 52,Game 53,Game 54,Game 55,Game 56,Game 57,Game 58,Game 59,Game 60,Game 61,Game 62,Game 63,Game 64,Game 65,Game 66,Game 67,Game 68,Game 69,Game 70,Game 71,Game 72
LAL,LAC,DAL,MIN,POR,@SAS,@SAS,@MEM,@MEM,SAS,CHI,@HOU,@HOU,@OKC,NOR,GSW,@MIL,@CHI,@CLE,@PHI,@DET,@BOS,@ATL,DEN,DET,OKC,OKC,MEM,@DEN,@MIN,BKN,MIA,WAS,@UTA,POR,GSW,PHO,@SAC,IND,@GSW,MIN,CHA,ATL,@PHO,@NOR,PHI,CLE,ORL,MIL,@SAC,@LAC,@TOR,@MIA,@BKN,@NYK,@CHA,BOS,UTA,UTA,@DAL,@DAL,@ORL,@WAS,SAC,TOR,DEN,@LAC,@POR,PHO,NYK,HOU,@IND,@NOR
BOS,MIL,BKN,@IND,@IND,MEM,@DET,@DET,@TOR,@MIA,WAS,ORL,NYK,@PHI,@PHI,CLE,@CHI,@SAS,LAL,@GSW,@SAC,@LAC,@PHO,@UTA,TOR,DET,@WAS,DEN,ATL,ATL,@NOR,@DAL,@ATL,IND,WAS,LAC,TOR,@BKN,@HOU,UTA,@CLE,SAC,ORL,@MEM,@MIL,@MIL,@OKC,NOR,DAL,HOU,CHA,PHI,NYK,MIN,@DEN,@POR,@LAL,GSW,CHI,PHO,@BKN,@CHA,OKC,CHA,SAS,POR,@ORL,@CHI,MIA,MIA,@CLE,@MIN,@NYK
LAC,@LAL,@DEN,DAL,MIN,POR,@UTA,@PHO,SAS,@GSW,@GSW,CHI,NOR,@SAC,IND,SAC,OKC,OKC,@ATL,@MIA,@ORL,@NYK,@BKN,@CLE,BOS,SAC,@MIN,@CHI,CLE,MIA,UTA,UTA,BKN,WAS,@MEM,@MEM,@MIL,@BOS,@WAS,GSW,@NOR,@DAL,@DAL,CHA,ATL,@SAS,@SAS,PHI,MIL,ORL,DEN,LAL,POR,PHO,HOU,DET,@IND,@DET,@PHI,MIN,@POR,MEM,@HOU,@NOR,@PHO,DEN,TOR,LAL,NYK,@TOR,@CHA,@HOU,@OKC
MIL,@BOS,GSW,@NYK,@MIA,@MIA,CHI,DET,DET,UTA,CLE,@ORL,@DET,DAL,@BKN,LAL,ATL,@TOR,@NOR,@CHA,POR,IND,@CLE,@CLE,@DEN,@PHO,@UTA,@OKC,TOR,TOR,OKC,SAC,MIN,NOR,LAC,DEN,@MEM,NYK,@WAS,@WAS,@PHI,SAS,IND,BOS,BOS,NYK,@LAC,@LAL,@POR,@SAC,@GSW,@DAL,CHA,@ORL,@MIN,@ATL,MEM,PHO,PHI,PHI,@ATL,@CHA,@HOU,@CHI,BKN,BKN,WAS,HOU,@SAS,ORL,@IND,MIA,@CHI
PHI,WAS,@NYK,@CLE,TOR,@ORL,CHA,CHA,WAS,@BKN,DEN,@ATL,MIA,MIA,@MEM,BOS,BOS,@DET,@DET,LAL,@MIN,@IND,@CHA,POR,BKN,@SAC,@POR,@PHO,@UTA,HOU,CHI,@TOR,@TOR,DAL,CLE,IND,UTA,@CHI,@WAS,SAS,NYK,MIL,SAC,@NYK,@GSW,@LAL,@LAC,@DEN,@CLE,MIN,MEM,@BOS,@NOR,@OKC,@DAL,BKN,LAC,GSW,PHO,@MIL,@MIL,OKC,ATL,ATL,@SAS,@CHI,@HOU,NOR,DET,@IND,@MIA,ORL,ORL
DEN,SAC,LAC,HOU,@SAC,PHO,@MIN,MIN,DAL,@PHI,@NYK,@BKN,GSW,UTA,OKC,@PHO,@PHO,@DAL,@MIA,@SAS,UTA,@LAL,@SAC,MIL,CLE,OKC,LAL,@BOS,@WAS,PP,@ATL,POR,WAS,@OKC,@CHI,@MIL,@IND,@MEM,DAL,IND,CHA,CHI,NOR,@ORL,@TOR,@NOR,ATL,PHI,@LAC,ORL,DET,SAS,SAS,BOS,@GSW,MIA,@HOU,MEM,@POR,@GSW,HOU,MEM,NOR,TOR,@LAC,@LAL,NYK,@UTA,BKN,@CHA,@MIN,@DET,@POR
TOR,NOR,@SAS,@PHI,NYK,@NOR,BOS,@PHO,@SAC,@GSW,@POR,CHA,CHA,DAL,MIA,MIA,@IND,@IND,MIL,SAC,ORL,@ORL,@BKN,@ATL,@MEM,@WAS,@BOS,MIN,@MIL,@MIL,@MIN,PHI,PHI,@MIA,HOU,CHI,DET,@BOS,ATL,@CHA,@CHI,@DET,UTA,@CLE,@HOU,DEN,PHO,POR,@DET,@OKC,GSW,WAS,LAL,@CLE,@NYK,ATL,SAS,ORL,OKC,BKN,@NYK,CLE,BKN,@DEN,@UTA,@LAL,@LAC,WAS,MEM,LAC,@CHI,@DAL,IND
MIA,@ORL,NOR,MIL,MIL,@DAL,OKC,BOS,@WAS,@PHI,@PHI,DET,DET,@TOR,@TOR,@BKN,@BKN,DEN,LAC,SAC,CHA,WAS,WAS,@NYK,NYK,@HOU,@UTA,@LAC,@GSW,@SAC,@LAL,@OKC,TOR,UTA,ATL,ATL,@NOR,ORL,@CHI,@ORL,CLE,@MEM,IND,IND,PHO,POR,@CHA,@NYK,@IND,GSW,CLE,MEM,LAL,@POR,@PHO,@DEN,@MIN,BKN,HOU,@SAS,@ATL,CHI,CHI,SAS,@CLE,@CHA,DAL,MIN,@BOS,@BOS,PHI,@MIL,@DET
DAL,@PHO,@LAL,@LAC,CHA,MIA,@CHI,@HOU,@DEN,ORL,@CHA,@MIL,CHI,@TOR,@IND,@SAS,HOU,DEN,@UTA,@UTA,PHO,PHO,@ATL,GSW,GSW,MIN,ATL,NOR,POR,MEM,BOS,@PHI,@BKN,@ORL,OKC,SAS,@OKC,@DEN,LAC,LAC,@POR,@POR,@MIN,IND,@NOR,@OKC,@BOS,@NYK,@WAS,UTA,@HOU,MIL,SAS,PHI,@MEM,NYK,SAC,DET,LAL,LAL,@SAC,@GSW,@DET,WAS,SAC,@MIA,BKN,CLE,@CLE,@MEM,NOR,TOR,@MIN
PHX,DAL,@SAC,@SAC,NOR,@UTA,@DEN,LAC,TOR,@DET,@IND,@WAS,@MEM,@HOU,DEN,DEN,OKC,GSW,@DAL,@DAL,@NOR,DET,BOS,CLE,MIL,PHI,ORL,BKN,@NOR,@MEM,POR,CHA,@CHI,@MIN,@LAL,GSW,@POR,IND,MEM,MIN,MIN,LAL,@MIA,@ORL,@TOR,@CHA,ATL,CHI,OKC,@HOU,UTA,@LAC,WAS,HOU,MIA,SAC,SAS,@MIL,@PHI,@BOS,@BKN,@NYK,LAC,UTA,@OKC,@CLE,@ATL,NYK,@LAL,@GSW,POR,@SAS,@SAS
