Teams,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Average
49ers,20,31,36,20,17,24,,,,,,,,,,,,24.66666667
Bears,27,17,30,11,20,23,,,,,,,,,,,,21.33333333
Bengals,13,20,23,33,3,27,,,,,,,,,,,,19.83333333
Bills,27,31,35,30,42,26,,,,,,,,,,,,31.83333333
Broncos,14,21,10,37,BYE,18,,,,,,,,,,,,20
Browns,6,35,34,49,32,7,,,,,,,,,,,,27.16666667
Buccaneers,23,31,28,38,19,38,,,,,,,,,,,,29.5
Cardinals,24,30,23,21,30,38,,,,,,,,,,,,27.66666667
Chargers,16,20,16,31,27,BYE,,,,,,,,,,,,22
Chiefs,34,23,34,26,32,26,,,,,,,,,,,,29.16666667
Colts,20,28,36,19,23,31,,,,,,,,,,,,26.16666667
Cowboys,17,40,31,38,37,10,,,,,,,,,,,,28.83333333
Dolphins,11,28,31,23,43,24,,,,,,,,,,,,26.66666667
Eagles,17,19,23,25,38,28,,,,,,,,,,,,25
Falcons,25,39,26,16,16,40,,,,,,,,,,,,27
Giants,16,13,9,9,34,20,,,,,,,,,,,,16.83333333
Jaguars,27,30,13,25,14,16,,,,,,,,,,,,20.83333333
Jets,17,13,7,28,10,0,,,,,,,,,,,,12.5
Lions,23,21,26,29,BYE,34,,,,,,,,,,,,26.6
Packers,43,42,37,30,BYE,10,,,,,,,,,,,,32.4
Panthers,30,17,21,31,23,16,,,,,,,,,,,,23
Patriots,21,30,36,10,BYE,18,,,,,,,,,,,,23
Raiders,34,34,20,23,40,BYE,,,,,,,,,,,,30.2
Rams,20,37,32,17,30,16,,,,,,,,,,,,25.33333333
Ravens,38,33,20,31,27,30,,,,,,,,,,,,29.83333333
Saints,34,24,30,30,35,BYE,,,,,,,,,,,,30.6
Seahawks,38,35,38,31,27,BYE,,,,,,,,,,,,33.8
Steelers,26,26,28,BYE,38,38,,,,,,,,,,,,31.2
Texans,20,16,21,23,30,42,,,,,,,,,,,,25.33333333
Titans,16,33,31,BYE,42,42,,,,,,,,,,,,32.8
Vikings,34,11,30,31,26,23,,,,,,,,,,,,25.83333333
Washington,27,15,20,17,10,19,,,,,,,,,,,,18
