Team/Elo,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Chiefs,1658,1672,1679,1705,1718,1706,1718,1728,1730,1732,1732,1739,1746,,,,
Ravens,1647,1666,1678,1650,1656,1665,1670,1670,1654,1674,1666,1649,1629,,,,
Saints,1614,1632,1616,1596,1605,1611,1611,1617,1627,1661,1680,1690,1698,,,,
Packers,1556,1578,1595,1617,1630,1630,1603,1613,1600,1628,1630,1617,1636,,,,
Steelers,1573,1586,1597,1607,1607,1623,1651,1663,1679,1685,1691,1694,1709,,,,
Seahawks,1548,1570,1587,1605,1615,1619,1619,1608,1633,1614,1595,1611,1623,,,,
49ers,1601,1590,1605,1617,1604,1587,1604,1623,1599,1570,1537,1537,1554,,,,
Patriots,1552,1567,1548,1521,1482,1482,1464,1420,1402,1406,1442,1427,1444,,,,
Titans,1549,1557,1564,1569,1569,1604,1612,1596,1587,1603,1603,1626,1653,,,,
Bills,1533,1551,1558,1572,1591,1559,1528,1533,1542,1573,1563,1563,1573,,,,
Rams,1541,1555,1582,1568,1575,1584,1561,1588,1571,1571,1594,1607,1595,,,,
Cowboys,1561,1547,1552,1529,1505,1510,1478,1462,1433,1407,1407,1426,1402,,,,
Bears,1526,1538,1546,1557,1534,1556,1569,1542,1525,1501,1481,1519,1484,,,,
Vikings,1544,1520,1491,1482,1497,1488,1466,1466,1495,1511,1529,1529,1532,,,,
Buccaneers,1540,1510,1528,1550,1563,1541,1584,1614,1616,1579,1591,1577,1558,,,,
Colts,1525,1511,1540,1558,1579,1558,1564,1564,1580,1548,1582,1598,1566,,,,
Eagles,1548,1534,1503,1503,1524,1496,1481,1483,1508,1508,1497,1497,1472,,,,
Cardinals,1465,1478,1499,1488,1469,1485,1521,1539,1539,1526,1538,1514,1503,,,,
Texans,1501,1465,1424,1395,1369,1394,1366,1326,1326,1334,1315,1344,1370,,,,
Raiders,1466,1480,1516,1547,1524,1560,1560,1525,1530,1540,1557,1535,1463,,,,
Falcons,1499,1469,1460,1440,1403,1380,1419,1412,1433,1452,1452,1412,1509,,,,
Broncos,1485,1472,1449,1414,1431,1431,1453,1404,1410,1388,1344,1376,1325,,,,
Browns,1496,1449,1462,1513,1539,1565,1525,1530,1506,1506,1512,1515,1517,,,,
Chargers,1462,1472,1452,1437,1411,1391,1391,1406,1399,1375,1346,1354,1320,,,,
Jets,1456,1427,1387,1342,1315,1274,1230,1197,1146,1125,1125,1097,1052,,,,
Lions,1453,1434,1393,1411,1384,1384,1406,1413,1372,1337,1349,1320,1290,,,,
Jaguars,1383,1413,1394,1365,1343,1312,1277,1246,1246,1233,1208,1158,1141,,,,
Panthers,1428,1410,1376,1398,1429,1448,1422,1402,1379,1362,1317,1350,1340,,,,
Dolphins,1435,1404,1385,1415,1384,1441,1457,1457,1492,1501,1514,1501,1505,,,,
Washington,1372,1410,1377,1342,1301,1256,1257,1311,1311,1299,1283,1307,1352,,,,
Giants,1419,1387,1365,1316,1284,1264,1263,1253,1236,1253,1297,1297,1306,,,,
Bengals,1390,1373,1351,1351,1374,1326,1302,1282,1331,1331,1280,1254,1241, ,,,
