Teams,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
49ers,20,31,36,20,17,24,33,,,,,,,,,,
Bears,27,17,30,11,20,23,10,,,,,,,,,,
Bengals,13,20,23,33,3,27,34,31,,,,,,,,,
Bills,27,31,35,30,42,26,18,,,,,,,,,,
Broncos,14,21,10,37,,18,16,,,,,, ,,,,
Browns,6,35,34,49,32,7,37,,,,,,,,,,
Buccaneers,23,31,28,38,19,38,45,,,,,,,,,,
Cardinals,24,30,23,21,30,38,37,,,,,,,,,,
Chargers,16,20,16,31,27,,39,,,,,,,,,,
Chiefs,34,23,34,26,32,26,43,,,,,,,,,,
Colts,20,28,36,19,23,31,,,,,,,,,,,
Cowboys,17,40,31,38,37,10,3,,,,,,,,,,
Dolphins,11,28,31,23,43,24,,,,,,,,,,,
Eagles,17,19,23,25,38,28,22,,,,,,,,,,
Falcons,25,39,26,16,16,40,22,25,,,,,,,,,
Giants,16,13,9,9,34,20,21,,,,,,,,,,
Jaguars,27,30,13,25,14,16,29,,,,,,,,,,
Jets,17,13,7,28,10,0,10,,,,,,,,,,
Lions,23,21,26,29,,34,23,,,,,,,,,,
Packers,43,42,37,30,,10,35,22,,,,,,,,,
Panthers,30,17,21,31,23,16,24,17,,,,,,,,,
Patriots,21,30,36,10,,18,6,,,,,,,,,,
Raiders,34,34,20,23,40,,20,,,,,,,,,,
Rams,20,37,32,17,30,16,24,,,,,,,,,,
Ravens,38,33,20,31,27,30,,,,,,,,,,,
Saints,34,24,30,30,35,,27,,,,,,,,,,
Seahawks,38,35,38,31,27,,34,,,,,,,,,,
Steelers,26,26,28,,38,38,27,,,,,,,,,,
Texans,20,16,21,23,30,42,20,,,,,,,,,,
Titans,16,33,31,,42,42,24,20,,,,,,,,,
Vikings,34,11,30,31,26,23,,28,,,,,,,,,
Washington,27,15,20,17,10,19,25,,,,,,,,,,
